0|Veljko|Vulin|1/1/1999|Ulica|11|Grad|Drzava|432143124|vulin@gmail.com|43242132134|Professor|50|1
1|Nebojsa|Ralevic|6/18/1983|Nemanje Vojnica|10|Novi Sad|Srbija|2132134r213|Rale@gmail.com|1342134|Profesor|12|3
2|Nemanja|Vojnic|12/7/2023|Fruskogorska|123|Subotica|Srbija|2341423154321|NemanjaVojnic@gmail.com|124124324|Profesor|20|1
3|Marko|Petrovic|2/5/1995|Bulevar Oslobodjenja|56|Belgrade|Serbia|3215235215|MarkoPetrovic@gmail.com|423423523|Profesor|25|1
4|Ana|Jovanovic|7/12/1992|Knez Mihajlova|7|Nis|Serbia|2342345231|AnaJovanovic@gmail.com|52352344|Profesor|32|-1
5|Milos|Ristic|9/23/1988|Kralja Aleksandra|89|Novi Pazar|Serbia|6543452341|MilosRistic@gmail.com|343452345|Profesor|15|-1
6|Jovana|Djordjevic|4/30/1996|Kneza Milosa|14|Cacak|Serbia|1241241521|JovanaDjordjevic@gmail.com|545434545|Profesor|28|-1
7|Stefan|Nikolic|11/9/1980|Nemanjina|33|Subotica|Serbia|5345235342|StefanNikolic@gmail.com|232345234|Profesor|18|-1
8|Teodora|Stojanovic|3/14/1985|Karadjordjeva|12|Kragujevac|Serbia|1235235235|TeodoraStojanovic@gmail.com|55443535|Profesor|38|-1
9|Ivan|Ivanovic|10/28/1991|Vojvode Stepe|78|Leskovac|Serbia|2342342312|IvanIvanovic@gmail.com|324232323|Profesor|22|-1
10|Marija|Milanovic|7/19/1989|Svetog Save|45|Zrenjanin|Serbia|5435342341|MarijaMilanovic@gmail.com|65464324|Profesor|30|-1
11|Nikola|Pavlovic|12/2/1997|Cara Dusana|21|Pancevo|Serbia|2341241242|NikolaPavlovic@gmail.com|434234532|Profesor|20|-1
12|Katarina|Milosevic|8/11/1994|Maksima Gorkog|32|Sabac|Serbia|7653452345|KatarinaMilosevic@gmail.com|234534534|Profesor|35|-1
13|Vukašin|Stankovic|6/26/1982|JNA|67|Uzice|Serbia|3462346234|VukStankovic@gmail.com|453453453|Profesor|10|-1
14|Milica|Tomic|9/17/1998|Kraljevica Marka|23|Valjevo|Serbia|2345345234|MilicaTomic@gmail.com|534534523|Profesor|29|-1
15|Dusan|Jankovic|3/3/1987|Bulevar Kralja Aleksandra|54|Novi Sad|Serbia|3452345234|DusanJankovic@gmail.com|23423423|Profesor|39|-1
16|Ivana|Dimitrijevic|11/9/1992|Bulevar Despota Stefana|76|Kraljevo|Serbia|2342345234|IvanaDimitrijevic@gmail.com|23423423|Profesor|38|-1
17|Aleksandar|Zivkovic|4/15/1986|Cara Lazara|12|Sombor|Serbia|2345345234|AleksandarZivkovic@gmail.com|23423423|Profesor|26|-1
