2|Veljko|Vulin|26-Sep-02|Rumenacka|18|Novi Sad|Srbija|0690386027|veljkoxl@gmail.com|RA69-2021|3|0|SAMOFINANSIRANJE
3|Nenad|Gvozdenac|02-Dec-02|Temerinska|12|Novi Sad|Srbija|123122345|nenadGvozdenac@gmail.com|RA150-2021|3|0|BUDZET
4|Ana|Petrovic|16-Jun-01|Cara Lazara|21|Kragujevac|Srbija|0651234567|ana.petrovic@gmail.com|RA123-2021|4|0|BUDZET
5|Nemanja|Vojnic|09-Sep-02|Plate Dobrojevica|1|Subotica|Srbija|0603426065|vojnicnemanja@gmail.com|RA206-2021|3|0|BUDZET
6|Marko|Ivanovic|27-Jun-01|Maksima Gorkog|5|Novi Pazar|Srbija|0647654321|marko.ivanovic@gmail.com|RA175-2021|3|0|BUDZET
7|Jovana|Jovanovic|08-Mar-02|Nikole Pasica|10|Nis|Srbija|0639876543|jovana.jovanovic@gmail.com|RA214-2021|3|0|SAMOFINANSIRANJE
8|Stefan|Djokovic|19-May-02|Cara Urosa|14|Kraljevo|Srbija|0661122334|stefan.djokovic@gmail.com|RA189-2022|2|0|BUDZET
9|Tamara|Stojanovic|03-Aug-01|Kneza Milosa|7|Smederevo|Srbija|0634455667|tamara.stojanovic@gmail.com|RA275-2021|3|0|BUDZET
10|Aleksandar|Petrovic|22-Oct-02|Vojvode Stepe|2|Leskovac|Srbija|0647788990|aleksandar.petrovic@gmail.com|RA321-2023|1|0|SAMOFINANSIRANJE
11|Jelena|Nikolic|14-Jul-01|Kosovska|33|Zrenjanin|Srbija|0651122334|jelena.nikolic@gmail.com|RA412-2023|1|0|SAMOFINANSIRANJE
12|Luka|Milosevic|27-Sep-02|Jovana Ducica|8|Pancevo|Srbija|0623344556|luka.milosevic@gmail.com|RA507-2011|3|0|SAMOFINANSIRANJE
13|Marija|Kovacevic|10-Dec-01|Milana Raskovica|18|Cacak|Srbija|0665566778|marija.kovacevic@gmail.com|RA602-2021|3|0|BUDZET
14|Nikola|Stankovic|03-Feb-02|Stefana Nemanje|25|Vranje|Srbija|0647890123|nikola.stankovic@gmail.com|RA704-2021|2|0|SAMOFINANSIRANJE
15|Katarina|Dimitrijevic|16-Nov-01|Vuka Karadzica|11|Sombor|Srbija|0612345678|katarina.dimitrijevic@gmail.com|RA809-2021|3|0|SAMOFINANSIRANJE
16|Dusan|Ristic|29-Mar-02|Nikole Tesle|14|Uzice|Srbija|0633456789|dusan.ristic@gmail.com|RA912-2021|4|0|SAMOFINANSIRANJE
17|Teodora|Pavlovic|07-Apr-01|Djure Djakonovica|9|Kikinda|Srbija|0654567890|teodora.pavlovic@gmail.com|RA1-2021|3|0|BUDZET
18|Vuk|Simic|23-Jun-02|Vuka Karadzica|7|Zajecar|Srbija|0605678901|vuk.simic@gmail.com|RA2-2021|3|0|SAMOFINANSIRANJE
19|Milica|Milanovic|18-Jul-01|Save Kovacevica|16|Novi Pazar|Srbija|0666789012|milica.milanovic@gmail.com|RA3-2021|3|0|BUDZET
20|Nemanja|Gajic|02-Sep-02|Kralja Petra|3|Sremska Mitrovica|Srbija|0647890123|nemanja.gajic@gmail.com|RA4-2020|4|0|BUDZET
21|Jovana|Vukovic|25-Oct-01|Vojvode Putnika|12|Sabac|Srbija|0618901234|jovana.vukovic@gmail.com|RA5-2021|3|0|BUDZET
22|Stefan|Jankovic|09-Dec-02|Svetozara Markovica|19|Kragujevac|Srbija|0639012345|stefan.jankovic@gmail.com|RA6-2021|3|0|BUDZET
23|Tamara|Nikolic|14-Feb-01|Jovana Rajica|22|Nis|Srbija|0661234567|tamara.nikolic@gmail.com|RA7-2021|3|0|SAMOFINANSIRANJE
24|Aleksandar|Stojanovic|27-Apr-02|Mladena Jovanovica|15|Novi Sad|Srbija|0642345678|aleksandar.stojanovic@gmail.com|RA8-2021|3|0|BUDZET
25|Jelena|Petrovic|10-Jun-01|Cara Lazara|11|Smederevo|Srbija|0603456789|jelena.petrovic@gmail.com|RA9-2023|1|0|BUDZET
26|Luka|Nikolic|23-Aug-02|Vuka Karadzica|8|Cacak|Srbija|0634567890|luka.nikolic@gmail.com|RA10-2021|3|0|BUDZET
27|Marija|Simic|06-Oct-01|Stevana Sremca|17|Leskovac|Srbija|0665678901|marija.simic@gmail.com|RA11-2021|3|0|BUDZET
28|Nikola|Djokovic|19-Dec-02|Kneza Milosa|10|Vranje|Srbija|0646789012|nikola.djokovic@gmail.com|RA12-2021|3|0|SAMOFINANSIRANJE
29|Katarina|Ristic|02-Feb-01|Stefana Nemanje|14|Sombor|Srbija|0617890123|katarina.ristic@gmail.com|RA13-2022|2|0|BUDZET
30|Dusan|Pavlovic|17-Mar-02|Djure Djakonovica|9|Uzice|Srbija|0658901234|dusan.pavlovic@gmail.com|RA14-2022|2|0|BUDZET
31|Teodora|Simic|30-Apr-01|Vuka Karadzica|7|Kikinda|Srbija|0609012345|teodora.simic@gmail.com|RA15-2021|3|0|SAMOFINANSIRANJE
32|Vuk|Matic|13-Jun-02|Save Kovacevica|16|Zajecar|Srbija|0630123456|vuk.matic@gmail.com|RA16-2021|3|0|SAMOFINANSIRANJE
33|Milica|Gajic|26-Jul-01|Kralja Petra|3|Novi Pazar|Srbija|0661234567|milica.gajic@gmail.com|RA17-2021|3|0|BUDZET
34|Nemanja|Vukovic|09-Sep-02|Vojvode Putnika|12|Sremska Mitrovica|Srbija|0642345678|nemanja.vukovic@gmail.com|RA18-2022|2|0|SAMOFINANSIRANJE
35|Jovana|Jankovic|22-Oct-01|Svetozara Markovica|19|Sabac|Srbija|0613456789|jovana.jankovic@gmail.com|RA19-2021|3|0|BUDZET
